text,label
这家餐厅的菜品非常好吃，服务态度也很棒！,positive
今天天气真好，心情非常愉快。,positive
这部电影太无聊了，浪费了两个小时。,negative
产品质量太差了，用了一天就坏了。,negative
非常满意这次购物体验，物流也很快。,positive
客服态度恶劣，问题一直没有解决。,negative
这本书写得很精彩，一口气读完了。,positive
价格太贵了，完全不值这个价。,negative
孩子很喜欢这个玩具，玩得很开心。,positive
等了半个小时外卖才到，而且还是凉的。,negative
公园里的花开得很漂亮，适合散步。,positive
这个手机信号很差，经常断网。,negative
老师讲课很生动，学到了很多知识。,positive
酒店房间很小，隔音效果也很差。,negative
这款护肤品效果很好，皮肤明显改善了。,positive
快递包装破损严重，里面的东西都碎了。,negative
音乐会现场氛围超棒，歌手唱得很好。,positive
这个软件太卡了，经常闪退。,negative
旅行途中遇到了很多热心人，感觉很温暖。,positive
饭菜又贵又难吃，再也不来了。,negative
新买的耳机音质非常棒，降噪效果一流。,positive
这个课程内容太水了，没有干货。,negative
同事们都很友善，工作氛围很好。,positive
排队排了两个小时，体验极差。,negative
这家咖啡店环境很好，咖啡也好喝。,positive
售后服务太差了，打了好多次电话都没人接。,negative
宝宝穿这件衣服很可爱，面料也很舒服。,positive
这个景点人太多了，根本玩不尽兴。,negative
终于考上了理想的大学，太开心了！,positive
工资又少又累，真不想干了。,negative
