knowledge,question,answer,label
Python是一种高级编程语言，由Guido van Rossum于1991年首次发布。Python支持多种编程范式，包括面向对象、命令式、函数式和过程式编程。Python的设计哲学强调代码的可读性。,Python是什么时候发布的？,Python由Guido van Rossum于1991年首次发布，是一种支持多种编程范式的高级编程语言。,正确
机器学习是人工智能的一个子领域，它使用统计技术让计算机系统能够从数据中"学习"而无需被明确编程。常见的机器学习算法包括线性回归、决策树、随机森林和神经网络。,深度学习和机器学习有什么区别？,深度学习是机器学习的一个子集，主要使用多层神经网络来处理复杂的模式识别任务。与传统机器学习不同，深度学习可以自动提取特征。,错误
Docker是一个开源的容器化平台，它允许开发者将应用程序及其依赖打包到一个轻量级、可移植的容器中。Docker使用Linux内核的容器技术。,Kubernetes是什么？,Kubernetes是一个开源的容器编排平台，用于自动化部署、扩展和管理容器化应用程序。它由Google开发并捐赠给CNCF。,无效
HTTP协议是Web通信的基础。HTTP/1.1于1997年发布，引入了持久连接。HTTP/2于2015年发布，支持多路复用和头部压缩。HTTP/3基于QUIC协议，进一步减少延迟。,HTTP/2有哪些主要改进？,HTTP/2于2015年发布，主要改进包括多路复用（允许同一连接上并行处理多个请求）和头部压缩（减少传输开销），显著提升了Web性能。,正确
Git是一个分布式版本控制系统，由Linus Torvalds于2005年创建，用于Linux内核开发。Git的核心概念包括仓库、提交、分支和合并。,SVN和Git有什么区别？,SVN是集中式版本控制系统，而Git是分布式的。Git每个开发者都有完整的仓库副本，可以离线工作。SVN则依赖中央服务器。,正确
React是由Facebook开发的JavaScript库，用于构建用户界面。React使用虚拟DOM来提高性能，并引入了JSX语法和组件化的开发方式。,Vue.js的响应式原理是什么？,Vue.js通过Object.defineProperty（Vue 2）或Proxy（Vue 3）实现数据响应式，当数据变化时自动更新视图。,无效
Redis是一个开源的内存数据结构存储系统，可用作数据库、缓存和消息代理。Redis支持多种数据结构：字符串、哈希、列表、集合和有序集合。最大支持512MB的单个值。,Redis支持哪些数据结构？,Redis支持字符串、哈希、列表、集合、有序集合等数据结构。此外还支持位图、HyperLogLog和地理空间索引。,正确
TCP是面向连接的传输层协议，通过三次握手建立连接。TCP提供可靠的、有序的数据传输。TCP使用滑动窗口机制进行流量控制。,TCP三次握手的过程是什么？,TCP三次握手过程：1）客户端发送SYN包；2）服务器回复SYN+ACK包；3）客户端发送ACK包。之后双方建立连接，可以开始数据传输。,正确
MySQL是一个关系型数据库管理系统，支持ACID事务。InnoDB是MySQL的默认存储引擎，支持行级锁和外键约束。MySQL的最大连接数默认为151。,MongoDB和MySQL哪个更好？,MongoDB是文档型NoSQL数据库，适合处理非结构化数据和需要水平扩展的场景。MySQL是关系型数据库，适合需要事务和复杂查询的场景。选择取决于具体需求。,错误
Linux文件系统采用树形结构，根目录为/。常见目录包括：/home（用户目录）、/etc（配置文件）、/var（可变数据）、/tmp（临时文件）。文件权限分为读、写、执行三种。,Linux的/proc目录是做什么用的？,/proc是Linux的虚拟文件系统，包含内核和进程的运行时信息。例如/proc/cpuinfo显示CPU信息，/proc/meminfo显示内存信息。,正确
Nginx是一个高性能的HTTP和反向代理服务器。Nginx采用事件驱动的异步非阻塞架构，能够处理大量并发连接。Nginx还可以用作负载均衡器和邮件代理。,Apache和Nginx哪个性能更好？,在高并发场景下Nginx通常比Apache性能更好，因为Nginx采用异步事件驱动架构，而Apache默认使用多进程模型。但Apache在动态内容处理方面更灵活。,正确
Python的GIL（全局解释器锁）是CPython解释器中的一个机制，它确保同一时刻只有一个线程执行Python字节码。这简化了内存管理但限制了多线程的并行性。,如何在Python中实现真正的并行计算？,可以使用multiprocessing模块实现多进程并行，绕过GIL限制。也可以使用C扩展或Cython释放GIL。对于IO密集型任务，asyncio是更好的选择。,正确
JWT（JSON Web Token）是一种开放标准（RFC 7519），用于在各方之间安全地传输信息。JWT由三部分组成：头部、载荷和签名。JWT通常用于身份验证和信息交换。,OAuth 2.0的工作流程是什么？,OAuth 2.0是一个授权框架，允许第三方应用获取有限的资源访问权限。主要流程包括授权码模式、隐式模式、密码模式和客户端凭证模式。,无效
Elasticsearch是一个分布式搜索和分析引擎，基于Apache Lucene构建。它支持全文搜索、结构化搜索和分析。ES使用倒排索引来实现快速搜索。,Elasticsearch的倒排索引是怎么工作的？,倒排索引将文档中的每个词映射到包含该词的文档列表。查询时直接查找词对应的文档ID列表，而不需要遍历所有文档，因此搜索速度非常快。,正确
Kafka是一个分布式流处理平台，最初由LinkedIn开发。Kafka使用发布-订阅模型，支持高吞吐量的消息传输。消息按主题（Topic）组织，每个主题可以有多个分区。,RabbitMQ和Kafka有什么区别？,RabbitMQ是传统的消息队列，支持复杂的路由和消息确认机制，适合任务队列场景。Kafka是分布式流平台，适合高吞吐量的日志收集和实时流处理。两者设计目标不同。,错误
